姓名    学号   语文  数学   英语     
张明明  01     67    78      82
李成友  02     78    91      88
张辉灿  03     68    82      56
王露    04     56    45      77
陈东明  05     67    38      47
赵伟      06     75    88    92
孙丽      07     66    70    55
钱芳      08     59    48    63
周强      09     82    79    85
吴婷      10     61    68    74
郑浩      11     55    49    62
王凯      12     84    91    89
李雪      13     72    65    77
张磊      14     60    54    66
刘敏      15     58    69    73
黄宇      16     63    62    70
周佳      17     79    88    81
朱杰      18     86    75    64
何静      19     90    92    95
许鹏      20     69    71    60
